titolo,wiki_tot,grok_tot,rapporto,wiki_camel,wiki_frasi1k,wiki_lentok,wiki_voc_altro,grok_camel,grok_frasi1k,grok_lentok,grok_voc_altro,grok_in_wiki,catture,catture_2025,v01_char,sim_v01_attuale,delta_char,dateModified,scritto_da_grok,usabile
Socialism,90101,97706,1.0844052785207712,8.517887563884156e-05,5.625,5.643611584327087,0.7914821124361159,0.0,3.875,6.449031500684797,0.7385051848953238,0.0006302686520129206,96,25,100218,0.9245579862151633,-2512,2026-01-17 02:46:22+00:00,True,True
Wikipedia,89240,81820,0.9168534289556253,0.002780117944397641,6.4375,5.441364785172705,0.7993260320134794,0.005351681957186544,5.8625,6.282587920489297,0.746368501529052,0.0,132,45,99395,0.012024301746688042,-17575,2026-04-18 22:41:39+00:00,True,True
Moon,87439,61539,0.7037935017555096,0.00015653126712060735,7.1,4.964545667997182,0.7992486499178211,0.0013164193393968406,6.841190139586279,5.8244375299186215,0.738750598372427,0.0,90,25,93474,0.014830710538865045,-31935,2026-03-28 01:00:18+00:00,True,False
Alexander the Great,87309,104099,1.1923054896975112,0.0,6.825,5.140516149461685,0.8041481950601647,0.0,4.15,5.918124436429215,0.7233543733092876,0.0006919936336585703,85,24,100058,0.8600869107189887,4041,2026-03-28 00:18:06+00:00,True,True
Paris,86663,118432,1.3665808938070456,0.00016431153466973383,7.05,5.134324679592507,0.7962536970095301,9.446438692612885e-05,4.2,6.103249574910259,0.6728698280748158,0.00037504688086010754,164,34,120001,0.9237354085603113,-1569,2026-02-28 14:33:35+00:00,True,True
Beijing,86371,100409,1.1625314052170288,0.00016519368960105725,6.6625,5.1699843065994875,0.8025935409267366,0.00018962738219398882,4.325,6.178344552953447,0.6851237318668816,0.00014922032380810266,100,25,102736,0.926775411354085,-2327,2026-03-02 07:40:28+00:00,True,True
Isaac Newton,85781,88828,1.035520686399086,0.0,6.45,5.172275641025641,0.795352564102564,0.0,4.25,6.100712105798576,0.7380005548876353,0.006050058014254931,92,28,86830,0.8560280920795942,1998,2026-04-08 01:26:14+00:00,True,True
Albert Einstein,85583,63582,0.7429279179276258,0.00015933715742511153,7.0625,5.141411727214787,0.8029796048438496,0.0005562972852692479,7.926771727847504,5.697151757899421,0.762572318647085,0.005409582689335394,93,28,74725,0.046049046321525886,-11143,2026-04-23 03:07:32+00:00,True,False
Napoleon,85533,245378,2.8688108683198297,0.00032229473853839335,8.1125,5.152848279751833,0.9729272419627749,0.0001792435920415845,4.45,5.802115074386091,0.8114357411722531,0.027191927488193365,92,24,163257,0.42799121283335034,82121,2026-03-28 00:22:37+00:00,True,True
Brazil,85195,173572,2.03734960971888,8.396305625524769e-05,6.65,5.329890848026868,0.8492023509655752,0.0,3.8625,6.185086297320492,0.6840850576904739,0.00030177616830488014,175,46,172551,0.9085302760647325,1021,2026-04-20 06:49:04+00:00,True,True
Artificial intelligence,84851,103136,1.2154953978149934,0.004259939859672569,7.0625,5.434263280988974,0.7934346809221516,0.006149341142020498,5.7125,6.4505612493899465,0.7099072718399219,0.0,127,27,134421,0.151762619170793,-31285,2026-04-14 19:05:22+00:00,True,True
Olympic Games,84208,98883,1.1742708531255939,8.033419023136246e-05,6.7625,5.129820051413882,0.8349132390745502,9.336196433572963e-05,4.3,6.059284847353188,0.7318644384277845,7.497938067031566e-05,90,24,98070,0.9042660155127836,813,2026-03-27 17:25:28+00:00,True,True
World War II,84180,177124,2.104110239961986,0.0,6.45,5.313879996716737,0.9065090700155956,9.393199323689649e-05,6.05,5.966748074394139,0.7403719706932181,4.123881397171017e-05,160,26,203031,0.16152610260007694,-25907,2026-03-23 14:32:46+00:00,True,True
World War I,83704,185144,2.2118895154353435,0.0,6.9125,5.290797749089705,0.8713174445547832,0.0,4.2375,6.042772723009098,0.7735672075790263,0.0016108247422680412,107,25,192113,0.7867959241437872,-6969,2026-03-14 06:56:23+00:00,True,True
Hinduism,83589,128041,1.531792460730479,0.0002439421044072207,6.75,5.27972027972028,0.8166368515205724,0.0,4.45,6.165257422021797,0.6770950770387073,0.0,91,27,127933,0.8394203206285168,108,2026-04-25 02:04:42+00:00,True,True
Adolf Hitler,83395,94051,1.1277774446909288,0.0,7.425,5.225581017389891,0.8198439785470503,0.0,5.0375,5.944767173812817,0.729460580912863,0.00901178464145421,127,45,149978,0.0017417940478693054,-55927,2026-04-15 17:38:26+00:00,True,True
Rome,82343,111589,1.355172874439843,0.00015756716300323014,6.8,4.972819664381943,0.8135192625856772,9.253261774775608e-05,4.3875,5.977514573887295,0.6769686314425835,0.00013151837969356216,92,26,113632,0.9231298904538341,-2043,2026-03-07 19:51:43+00:00,True,True
